Adjusted Time Stamp,Weight,Time Slice Size (s),Time Slice per Weight (ms)
0,10,0.399804,39.9804
0.399804,2,0.079944,39.972
0.479748,16,0.639609,39.9755625
1.119357,8,0.31852,39.815
1.437877,12,0.481125,40.09375
1.919002,14,0.559721,39.9800714286
2.478723,4,0.159922,39.9805
2.638645,6,0.239879,39.9798333333
2.878524,10,0.399805,39.9805
3.278329,2,0.079204,39.602
3.357533,16,0.640446,40.027875
3.997979,8,0.319834,39.97925
4.317813,12,0.479758,39.9798333333
4.797571,14,0.559721,39.9800714286
5.357292,4,0.159958,39.9895
5.51725,6,0.23988,39.98
5.75713,10,0.399776,39.9776
6.156906,2,0.079955,39.9775
6.236861,16,0.637956,39.87225
6.874817,8,0.32159,40.19875
7.196407,12,0.479772,39.981
7.676179,14,0.559699,39.9785
8.235878,4,0.15994,39.985
8.395818,6,0.239862,39.977
8.63568,10,0.399812,39.9812
9.035492,2,0.07996,39.98
9.115452,16,0.6397,39.98125
9.755152,8,0.319829,39.978625
10.074981,12,0.39227,32.6891666667
10.467251,14,0.559143,39.9387857143
11.026394,4,0.160537,40.13425
11.186931,6,0.23988,39.98
11.426811,14,0.039969,2.8549285714
11.46678,4,0.159922,39.9805
11.626702,6,0.239851,39.9751666667
11.866553,4,0.159919,39.97975
12.026472,6,0.238884,39.814
12.265356,0,,
